edu_seq,mem_seq,edu_name,edu_locate,edu_phone,edu_content,edu_score,edu_hit,edu_wdate,edu_update
18,25,기타스튜디오,서울 동작구 동작대로3길 30 지하 (우)07015,02-1612-2613,월~금 14:00 ~ 22:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
19,22,GMI 아카데미,서울 서초구 서초대로 28 장현빌딩3층 (우)06675,02-3682-5699,월~금 10:00 ~ 23:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
20,21,수학에미친사람들 방배2관,"서울 서초구 동광로 11 빈센트빌딩 3,4층 (우)06560",02-3477-0043,월~금 12:00 ~ 22:00,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
21,24,제이엘학원,서울 서초구 서초대로 25 유일빌딩 3층 301호 (우)06569,02-593-0300,월~금 15:00 ~ 22:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
22,25,모스톤보컬아카데미학원,서울 서초구 효령로31길 10 2층 (우)06686,02-9865-8500,"매일 13:00 ~ 22:00
매일 휴게시간 17:00 ~ 18:00",2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
23,23,사당소마,서울 동작구 동작대로29길 119 극동 114동 상가 202호 (우)06990,02-4854-6494,화~금 12:00 ~ 22:00,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
24,24,e오일러수학교습소,서울 서초구 동광로 7-4 2층 (우)06560,02-1625-3027,매일 16:00 ~ 22:00,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
25,25,오드실용음악아카데미학원,서울 서초구 서초대로 28 장현빌딩 3층 (우)06675,02-7312-1724,월~토 11:00 ~ 22:00,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
26,21,펜다모델아카데미,서울 서초구 서초대로24길 17 지하1층 (우)06672,02-8754-0825,월~금 10:00 ~ 16:00,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
27,25,배우사거리연기뮤지컬학원,서울 동작구 사당로23길 6 2층 (우)07006,02-6081-1033,매일 10:00 ~ 22:00,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
28,24,사랑이넘치는피아노,서울 서초구 도구로 118 2층 (우)06570,02-3833-1924,"월,화,목,금 13:00 ~ 19:00",2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
29,21,갈라파고스학원,서울 서초구 서초대로 37 한일빌딩 3층 (우)06570,02-4440-4997,"월~금 10:00 ~ 19:00 (전화상담)
월~금 휴게시간 12:00 ~ 13:00",1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
30,24,피스톤체대입시,서울 서초구 방배동 924-11 DM타워 3관 지하1층,02-1480-3549,매일 10:00 ~ 22:00,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
31,25,예종앙볼리발레학원,서울 서초구 동작대로 190 4층 (우)06559,02-5495-9553,월~금 10:00 ~ 22:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
32,24,임파워스피치,서울 동작구 사당로 259 동우빌딩 3층 (우)07005,02-6571-1843,월~금 10:30 ~ 21:30,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
33,25,더브릿지학원,"서울 서초구 동작대로 138 소방빌딩 2,3층 (우)06567",02-5438-1018,월~토 10:00 ~ 19:00,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
34,22,아르떼발레&필라테스,서울 서초구 방배천로18길 26 3층 (우)06677,02-9334-9370,월~금 08:00 ~ 22:00,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
35,25,비우미술학원,서울 서초구 동작대로 190 승정빌딩 5층 (우)06559,02-1322-5526,화~금 15:00 ~ 22:00,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
36,21,발레앤코,서울 서초구 방배로 202 4층 (우)06585,02-5043-5567,월~금 11:00 ~ 20:00,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
37,23,노리터잉글리시,서울 서초구 방배로37길 27 2층 201호 (우)06561,02-7297-9555,월~금 13:30 ~ 20:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
38,24,스페라학원,서울 서초구 동작대로 160 201호 (우)06566,02-4952-1386,월~금 12:00 ~ 23:00,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
39,24,자연수학,서울 서초구 청두곶길 55 2층 202호 (우)06677,02-585-2599,매일 10:00 ~ 22:00,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
40,25,잼실용음악학원 사당지점,"서울 서초구 과천대로 946 우성상가 4층 2호, 4호 (우)06760",02-6744-6434,월~금 14:00 ~ 22:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
41,23,피아노리브레 사당센터,서울 관악구 과천대로 941 지산빌딩 3층 301호 (우)08807,02-8398-9269,월~금 13:00 ~ 23:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
42,21,김수정 유학미술 화실,서울 서초구 서초대로25길 27 2층 (우)06588,02-4393-1552,매일 12:00 ~ 20:00,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
43,23,파머스쎈텀학원,서울 동작구 사당로23길 112 후면상가2층 101호 (우)07001,02-780-0533,월~금 14:00 ~ 22:00,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
44,25,정은쌤스튜디오,서울 동작구 사당로27길 58 정은쌤스튜디오 (우)07007,02-6929-8647,화~금 14:00 ~ 22:00,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
45,23,유투엠리드인 서초방배캠퍼스,서울 서초구 방배로 211 SM빌딩 3층 (우)06562,02-6165-4561,월~금 13:00 ~ 22:00,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
46,22,호크마차일드스터디학원,서울 동작구 사당로23나길 34 3층 (우)07007,02-6084-0913,월~금 12:30 ~ 07:30,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
47,23,예꼴미술,서울 서초구 방배중앙로 30 지호빌딩 201호 (우)06684,02-3983-8800,월~금 11:40 ~ 19:00,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
48,22,천재해법독서논술교습소,서울 동작구 사당로17길 8 대림상가 A동 1층 109호 (우)07005,02-599-8852,"월,화,수,목,금,일 01:00 ~ 20:00",5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
49,23,RVD입시컨설팅학원,서울 서초구 서초대로25길 17 서린빌딩 2층 (우)06588,02-2842-5083,월~토 11:00 ~ 19:00,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
50,22,유투인 수학학원 서초방배캠퍼스,서울 서초구 방배로 211 SM빌딩 3층 중앙학원 (우)06562,02-0504-4817,월~금 13:00 ~ 22:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
51,22,비비밸런스,서울 서초구 서초대로 90 지하1층 (우)06673,02-5404-2256,월~금 09:00 ~ 23:00,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
52,22,수지필라테스,서울 동작구 동작대로27가길 44 7층 (우)07008,010-5084-2272,월~금 09:00 ~ 22:00,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
53,25,메이드수 필라테스&플라잉요가 남성역점,서울 동작구 사당로 234 호림빌딩 6층 (우)07010,02-3481-0003,월~금 09:00 ~ 22:00,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
54,23,다올필라테스 이수점,서울 동작구 동작대로29나길 15 3층 (우)06997,02-9176-0812,월~금 09:00 ~ 22:00,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
55,25,끌로에필라테스 이수점,서울 동작구 동작대로27가길 44 7층 (우)07008,02-536-3515,매일 10:00 ~ 21:00,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
56,24,파인트리 필라테스 & 자이로토닉,서울 서초구 방배천로34길 2 J&J빌딩 2층 (우)06564,02-535-5277,월~토 09:00 ~ 22:00,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
57,25,나의필라테스,서울 서초구 서초대로 3-4 c동 1층 110호 (우)06568,02-594-4200,월~금 10:00 ~ 22:00,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
58,23,룩스필라테스 남성역점,"서울 동작구 사당로17길 17 3층, 4층 (우)07004",02-5721-0559,월~금 08:00 ~ 22:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
59,21,모던필라테스 서울서초지부,서울 서초구 방배로 144 2층 (우)06664,02-3471-5766,월~금 14:30 ~ 22:00,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
60,25,L Pilates studio(엘필라테스 스튜디오),서울 서초구 서초대로1길 37 3층 (우)06567,010-5227-5223,월~금 09:00 ~ 22:00,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
61,23,비바라짐 내방점,서울 서초구 서초대로 108 3층 301호 (우)06664,02-1172-1710,월~금 06:00 ~ 23:00,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
62,25,비엠더프라이빗 방배점,서울 서초구 방배로 202 2층 (우)06585,02-7241-5060,월~금 09:00 ~ 23:00,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
63,25,모던필라테스 서울예체능지부 전용관,서울 서초구 방배로 144 4층 (우)06664,02-1466-9904,월~금 09:30 ~ 22:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
64,22,SY발레필라테스앤플라잉요가,서울 서초구 방배중앙로 151 (우)06558,02-525-2951,월~금 09:00 ~ 23:00,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
65,22,베러핏필라테스&서킷스튜디오,서울 서초구 방배로20길 4 원동빌딩 6층 (우)06664,02-1375-4803,월~금 08:00 ~ 22:00,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
66,25,오늘필라테스바이최은정 남성역점,서울 동작구 사당로 220 4층 (우)07010,02-6338-0737,월~토 10:00 ~ 22:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
67,21,아진필라테스,서울 서초구 방배천로34길 2 J&J빌딩 2층 (우)06564,02-3478-7727,월~금 08:00 ~ 22:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
68,22,센트리얼필라테스 방배점,서울 서초구 방배로 98 (우)06665,02-587-1188,월~금 07:00 ~ 23:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
69,24,필라테스인 내방점,서울 서초구 방배로 215 2층 (우)06562,02-591-3007,"매일 12:00 ~ 23:00
매일 휴게시간 17:00 ~ 18:00",5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
70,21,키무브 필라테스 스튜디오,서울 서초구 방배로 211 SM빌딩 5층 (우)06562,02-8709-0063,월~금 12:30 ~ 20:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
71,22,필라테스하우스,서울 서초구 서초대로 111 4층 (우)06588,02-8989-0486,매일 06:00 ~ 22:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
72,21,필라테스에이트,서울 서초구 서초대로25길 51 4층 (우)06586,02-0152-6855,월~금 10:00 ~ 22:00,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
73,25,배우다필라테스앤피티,서울 동작구 사당로 230-1 (우)07010,02-4249-2594,월~금 07:00 ~ 23:00,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
74,24,위니드필라테스,서울 관악구 남현3길 78 4층 (우)08807,010-5882-1226,"월~금 08:30 ~ 23:00
월~금 휴게시간 13:00 ~ 15:00",3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
75,24,소메틱필라테스 비욘드,서울 서초구 남부순환로 2121-3 4층 (우)06693,02-852-4488,"월,화,목,금 15:00 ~ 22:00",1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
76,25,앤유 자이로토닉&필라테스,서울 서초구 방배로36길 3 알렌빌딩 4층 (우)06584,02-9159-6956,월~금 10:00 ~ 22:00,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
77,23,포티포피트니스,서울 서초구 사평대로22길 41 (우)06576,02-2041-2489,월~금 10:00 ~ 22:00,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
78,22,세레니티필라테스랩,서울 서초구 방배로42길 29 3층 (우)06584,02-5349-5477,월~금 06:00 ~ 21:00,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
79,23,필라테스투게더 방배점,서울 서초구 방배로42길 46 1층 (우)06584,010-4214-2140,"월,화,목,금 10:00 ~ 21:00",3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
80,23,바디진필라테스 서래마을점,서울 서초구 방배로32길 38 (우)06586,010-6640-3005,월~금 11:00 ~ 21:00,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
81,23,벨르필라테스,서울 서초구 방배로 269 (우)06553,02-532-1031,월~금 09:00 ~ 22:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
82,23,"필라테스,비움","서울 서초구 방배중앙로 207-10 아크로리버 상가 B1, 104호 (우)06551",02-7708-6810,매일 07:00 ~ 23:00,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
83,23,오늘필라테스by최은정,서울 관악구 남부순환로247길 3 3층 (우)08801,010-5285-5991,월~금 10:00 ~ 22:30,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
84,25,모던필라테스 방배역점,서울 서초구 방배로8길 4 3층 302호 (우)06705,070-7954-3690,월~금 09:00 ~ 22:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
85,23,마인드인모션,서울 서초구 남부순환로293길 16 2층 (우)06701,02-6371-0320,월~금 09:00 ~ 21:00,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
86,25,맥필라테스&PT,서울 서초구 사평대로 112 광천빌딩 3층 (우)06575,02-583-0919,월~금 07:00 ~ 22:00,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
87,24,리지필라테스,서울 서초구 서래로 39 가송빌딩 5층 (우)06576,02-5511-6571,월~금 09:00 ~ 22:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
88,23,살루스필라테스,서울 서초구 사평대로22길 37 2층 202호 (우)06576,02-3349-4115,화~일 09:00 ~ 22:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
89,24,필라라움,서울 서초구 서래로8길 7 포도빌딩 2층 (우)06577,010-9276-1232,월~금 08:00 ~ 22:00,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
90,22,필라테스물결,서울 서초구 사평대로26길 30 2층 (우)06577,010-3401-0388,월~토 08:00 ~ 22:00,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
91,22,요가플레이스&필라테스,서울 동작구 동작대로 109 3층 (우)07008,02-9433-4391,"일요일
공휴일",5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
92,23,온유필라테스,서울 서초구 동작대로 108 (우)06568,02-0393-7773,일요일,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
93,22,바른몸필라테스 월요가,서울 서초구 방배로42길 61 빌딩7719 1층 (우)06584,02-6772-1657,월~금 08:00 ~ 10:30,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
94,21,랄라짐,서울 서초구 방배로37길 11 지하1층 (우)06561,02-5018-3994,월~금 08:00 ~ 22:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
95,22,워크인요가필라테스,서울 서초구 방배중앙로 187 (우)06554,02-2425-9502,월~금 14:00 ~ 22:00,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
96,22,소마루트,서울 서초구 방배로26길 16 (우)06588,02-5839-9119,월~금 10:00 ~ 23:00,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
97,23,바른선필라테스,서울 서초구 동광로1길 112 (우)06551,02-3477-0043,월~금 12:00 ~ 22:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
