beauty_seq,mem_seq,beauty_name,beauty_locate,beauty_phone,beauty_content,beauty_score,beauty_hit,beauty_wdate,beauty_update
18,26,아름디헤어 이수역점,서울 서초구 서초대로3길 10-2 1층 (우)06569,02-5882-8449,화요일,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
19,27,리소헤어 이수역점,서울 동작구 동작대로 123 2층 (우)07008,02-9777-9171,매일 11:00 ~ 22:00,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
20,26,하루,서울 서초구 청두곶7길 21 1층 (우)06691,02-6368-3145,화~일 10:00 ~ 20:00,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
21,33,이훈ALL30000,서울 동작구 동작대로 71 (우)07013,02-3485-1334,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
22,32,하이리헤어,서울 서초구 방배천로6길 33-1 (우)06691,02-1247-5727,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
23,30,이진헤어 본점,"서울 동작구 사당로 300 이수자이 2층 223,224호 (우)07013",02-5500-5659,월~토 10:00 ~ 21:00,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
24,32,에이컨셉 이수점,서울 동작구 동작대로 103 (우)07008,02-535-4425,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
25,35,핑크헤어,서울 동작구 사당로28길 13 (우)07013,02-3820-1735,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
26,31,이훈plan30000 방배역점,서울 서초구 효령로 115 2층 (우)06686,02-6209-0411,월~토 10:00 ~ 20:00,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
27,29,살롱드여운 이수역점,서울 동작구 동작대로27가길 48 보미빌딩 4층 (우)07008,02-533-2437,매일 10:30 ~ 20:00,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
28,34,제오헤어 이수역점,서울 서초구 동작대로 108 디오슈페리움2 2층 201호 (우)06568,02-1011-0716,매일 10:00 ~ 21:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
29,30,하리미헤어,서울 동작구 동작대로5길 20 2층 (우)07015,02-1112-6570,화~일 11:00 ~ 20:00,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
30,35,오다헤어 이수점,서울 동작구 동작대로27길 11 (우)07008,02-2096-8827,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
31,30,가든미용실,서울 동작구 동작대로15길 96 (우)07012,02-1388-0189,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
32,26,살롱라인,서울 동작구 동작대로33길 7 1층 (우)06997,02-0734-1803,화~일 10:00 ~ 20:00,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
33,28,숫컷 이수점,서울 동작구 동작대로29길 50 (우)06997,02-1132-9610,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
34,31,준오헤어 낙성대역점,서울 관악구 남부순환로 1931 케이타워 2층 (우)08801,02-1896-1997,매일 10:00 ~ 21:30,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
35,31,헤어스토리,서울 서초구 서초대로1길 15 1층 102호 (우)06567,02-1318-4520,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
36,27,헤어마시멜로 방배점,서울 서초구 효령로27길 35 2층 (우)06685,02-3827-6919,월~토 10:30 ~ 20:30,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
37,28,심비디움,서울 서초구 방배로23길 14 (우)06672,02-0341-6393,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
38,26,김민헤어,서울 동작구 동작대로9나길 17 (우)07015,02-6279-8240,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
39,34,온더에이치,서울 서초구 방배로15길 7 1층 101호 (우)06683,02-3231-1028,월~금 10:00 ~ 20:00,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
40,35,헤어메세지,서울 서초구 청두곶13길 21 (우)06677,02-7163-4962,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
41,32,서로헤어,서울 서초구 동광로12가길 7 1층 (우)06568,02-6014-4616,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
42,33,언니네헤어샵,서울 동작구 사당로16길 28 (우)07010,02-2933-4173,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
43,26,부엔헤어샵 이수점,서울 서초구 방배천로4안길 84 101호 (우)06677,010-5532-7954,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
44,26,이다헤어샵,서울 동작구 동작대로9가길 1 (우)07015,070-4235-0828,매일 10:30 ~ 22:00,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
45,31,김민희헤어클럽,서울 동작구 사당로27길 56 (우)07007,02-6621-9165,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
46,32,이채영헤어,서울 서초구 서초대로1길 6 (우)06568,02-2522-2813,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
47,35,살랑,서울 서초구 방배천로18길 11 방배롯데캐슬아르떼상가 A동 102호 (우)06676,02-522-5143,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
48,29,끄댕이 사당역점,서울 동작구 동작대로5길 13 양재빌딩 2층 (우)07015,0507-1327-9425,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
49,33,차홍룸 방배점,서울 서초구 방배로 103 2층 (우)06683,02-6199-5153,매일 10:00 ~ 19:00,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
50,28,수헤어,서울 서초구 방배천로6길 39-2 1층 (우)06691,02-598-4225,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
51,34,이젤,서울 서초구 방배중앙로25길 21 1층 (우)06558,02-2581-6269,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
52,33,윤스헤어카페,서울 동작구 동작대로29길 69 1층 (우)06999,02-8063-8796,월~토 09:00 ~ 19:30,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
53,29,메리엘살롱 이수점,서울 동작구 사당로 300 (우)07013,02-6344-1149,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
54,29,오땡큐헤어천염염색,서울 서초구 방배중앙로21길 48 (우)06559,02-1362-3853,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
55,35,문헤어샵,서울 서초구 서초대로1길 14 (우)06567,02-8138-1658,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
56,26,헤어살롱Rebook,서울 서초구 방배천로20길 17 (우)06675,02-2824-4111,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
57,29,감동미장원123,서울 서초구 방배천로2안길 120 경현행복한집 1층 102호 (우)06677,02-2195-1765,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
58,33,디케이헤어,서울 서초구 방배중앙로27길 36 1층 (우)06554,02-534-2977,월~토 10:00 ~ 21:00,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
59,30,헤어엠코드 총신대점,서울 동작구 동작대로 127 2층 A호 (우)07008,02-866-6603,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
60,31,송재원헤어샵,서울 서초구 동광로12가길 25 1층 (우)06568,02-9247-6299,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
61,27,앨빈헤어살롱,서울 서초구 도구로 116-1 (우)06570,02-6769-9360,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
62,29,꼼모아헤어 본점,서울 서초구 방배로23길 31-2 1층 꼼모아헤어 (우)06680,02-8317-9896,매일 10:30 ~ 21:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
63,27,서래미장 방배본점,서울 서초구 동광로 56-1 101호 (우)06562,010-2739-0147,화요일,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
64,34,헤어컴미용실,서울 동작구 동작대로29다길 15 (우)06997,02-7186-2359,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
65,27,우송원헤어,서울 동작구 사당로30길 77 (우)07014,02-3305-6385,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
66,26,마지끄유,서울 서초구 방배로13길 41-22 1층 (우)06685,02-3666-7894,매일 11:00 ~ 22:00,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
67,31,라움헤어,서울 서초구 방배중앙로21길 42 1층 (우)06559,02-534-2737,"월,화,목,금,토 10:30 ~ 20:00",5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
68,32,일공이헤어,서울 서초구 방배천로4안길 38 (우)06691,02-1349-9022,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
69,30,미정원,서울 서초구 방배중앙로13길 2 1층 (우)06570,02-0390-7935,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
70,26,살롱드키코 사당다른점,서울 관악구 남부순환로 2050 2층 (우)08805,02-7460-0219,월~금 11:00 ~ 21:00,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
71,34,카라헤어,서울 동작구 동작대로29길 63-3 (우)07008,02-7400-6190,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
72,34,헤세드헤어,서울 서초구 방배중앙로 145-2 (우)06560,02-1145-0901,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
73,27,갤러리조희미용실,서울 서초구 동광로12가길 21 (우)06568,02-4570-4020,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
74,35,밀리오레헤어클럽,서울 동작구 동작대로7길 36 (우)07015,02-6902-4372,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
75,27,헤어제이클럽,서울 동작구 사당로29가길 46 (우)07008,02-0497-3626,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
76,27,머리못하는집 사당48호점,서울 동작구 사당로16가길 4 (우)07010,02-8400-8375,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
77,35,아르스에이치 방배점,서울 서초구 동광로 8 리스빌 2층 (우)06566,02-6014-1944,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
78,31,마샬뷰티살롱,서울 서초구 방배천로18길 2 (우)06677,02-7885-2768,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
79,34,제시카뷰티샵,서울 동작구 동작대로7길 26 (우)07015,02-1133-2734,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
80,30,영앤정헤어,서울 동작구 동작대로1길 42 2층 (우)07025,02-4272-6157,매일 10:30 ~ 21:00,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
81,30,수헤어,서울 동작구 사당로27길 15 (우)07006,02-9624-9151,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
82,27,어도어헤어,서울 동작구 동작대로15길 123 1층 (우)07011,02-584-1231,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
83,33,상록수헤어,서울 동작구 동작대로13길 16-4 (우)07014,02-6679-5727,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
84,33,가윤헤어살롱 본점,서울 서초구 서초대로28길 13 1층 (우)06664,02-522-2575,화~일 11:00 ~ 21:00,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
85,30,마사지미용실,서울 서초구 방배중앙로 166 (우)06557,02-6550-3341,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
86,31,수연헤어샵,서울 동작구 동작대로27길 49 (우)07008,02-6320-3396,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
87,34,라떼르헤어 내방역점,서울 서초구 서초대로 90 2층 (우)06673,02-2055-1231,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
88,29,유민희헤어라인,서울 서초구 서초대로1길 23 2층 (우)06567,02-591-3906,월~토 10:00 ~ 20:00,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
89,34,헤나킹 이수센터,서울 동작구 동작대로29길 17 (우)07008,02-4311-3825,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
90,28,제이제이헤어,서울 서초구 방배천로4안길 52 (우)06691,02-9756-9598,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
91,31,헤어플러스,서울 동작구 동작대로17길 14-2 (우)07013,02-7216-9002,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
92,31,노이즈헤어,서울 서초구 서초대로 132 1층 (우)06661,02-2830-1264,화요일,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
93,28,미소헤어샵 1호점,서울 서초구 도구로 75 (우)06678,02-0045-5911,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
94,34,내멋대로헤어 이수사당점,서울 서초구 방배천로16길 18 (우)06677,02-7092-7679,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
95,28,헤어뉴스,서울 동작구 동작대로9길 74 (우)07016,02-4837-3508,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
96,35,헤어핀,서울 동작구 동작대로 101 (우)07008,02-8939-5217,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
97,32,더파인드헤어,서울 서초구 동광로12가길 15 1층 (우)06568,02-532-2823,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
98,27,규수방미용실,서울 서초구 도구로9길 32 (우)06678,02-9281-9212,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
99,35,장은헤어,서울 동작구 사당로27길 16 (우)07007,02-9070-5198,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
100,34,천연헤나염색,서울 서초구 서초대로1길 38 (우)06566,02-8749-8637,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
101,32,자자헤어 방배점,서울 서초구 동광로 29 (우)06560,02-3481-8006,"첫째 토,일요일",1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
102,26,베스트프렌드헤어살롱,서울 동작구 동작대로29길 17 (우)07008,02-1581-8790,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
103,29,안나헤어,서울 서초구 방배로25길 12 1층 102호 (우)06572,02-532-1369,월~토 10:00 ~ 20:00,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
104,28,헤어키키,서울 동작구 동작대로25길 33 1층 (우)07008,010-5645-1103,화~토 11:00 ~ 20:30,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
105,29,헤어망고 방배점,서울 서초구 방배로 94-1 2층 (우)06665,02-9480-3877,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
106,26,차영미헤어클리닉,서울 서초구 방배로25길 25-2 (우)06573,02-4299-9802,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
107,33,라인샾,서울 동작구 동작대로33길 17 (우)06997,02-6352-7834,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
108,34,한스헤어,서울 서초구 방배천로2안길 110 (우)06677,02-2566-8516,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
109,29,라미헤어,서울 동작구 동작대로17길 14-1 (우)07013,02-3329-5197,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
110,33,뷰티 YD BEAUTY,서울 서초구 방배천로16길 18 (우)06677,02-1905-2157,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
111,33,코리아미용실,서울 서초구 방배천로16길 18 (우)06677,02-6585-2556,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
112,35,S스타일헤어 본점,서울 서초구 방배중앙로 164 2층 (우)06557,02-592-0216,월~토 10:30 ~ 20:00,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
113,33,오피유 헤어 사당점,서울 동작구 동작대로3길 16 2층 (우)07015,02-6397-8253,매일 10:00 ~ 20:00,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
114,34,메씨헤어,서울 동작구 사당로30길 55 (우)07014,02-3177-5880,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
115,27,김선영헤어,서울 서초구 방배로25길 22 (우)06572,02-1752-4685,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
116,30,메르시모몽 방배점,서울 서초구 방배천로 5-1 우성타운 6층 (우)06693,02-875-9311,월~목 11:00 ~ 20:30,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
117,27,김현정헤어,서울 서초구 도구로 120-4 (우)06570,02-4105-1300,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
118,32,리치헤어,서울 동작구 동작대로35사길 3-2 (우)06991,02-6675-3011,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
119,31,살롱에이 방배역점,서울 서초구 방배로 90 농전빌딩 3층 (우)06665,02-5018-2684,매일 10:30 ~ 20:30,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
120,27,정원머리방,서울 서초구 방배중앙로13길 48-1 (우)06570,02-2004-2472,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
121,35,루시헤어,서울 서초구 동광로 55 (우)06561,02-9310-8117,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
122,30,소프레사헤어살롱,서울 서초구 방배천로18길 32 1층 (우)06677,02-525-4029,월~토 10:00 ~ 20:00,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
123,32,헤어365 사당점,서울 동작구 동작대로29길 91 (우)06999,02-2250-9214,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
124,34,이진헤어 방배점,서울 서초구 방배로 83 (우)06686,02-7207-1985,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
125,31,더비아헤어,서울 서초구 방배천로8길 36 1층 (우)06691,02-6403-0909,월요일,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
126,33,진헤어룩,서울 동작구 동작대로29다길 7-2 1층 (우)06997,02-0633-7010,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
127,26,수연헤어,서울 동작구 동작대로33다길 12-4 (우)06996,02-1117-8096,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
128,33,이쁜머리,서울 동작구 동작대로9길 26 (우)07014,02-6979-1974,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
129,33,가위가머리를만날때,서울 서초구 청두곶길 30 (우)06690,02-4566-1441,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
130,30,윤희헤어,서울 동작구 사당로18길 18 (우)07011,02-8463-5040,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
131,35,엘르미장,서울 서초구 방배천로2안길 55 (우)06691,02-2675-2895,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
132,34,이연희헤어샵,서울 서초구 방배중앙로 46 (우)06680,02-9837-9099,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
133,26,브넬헤어 방배카페거리점,서울 서초구 방배중앙로29길 3 2층 (우)06554,02-2553-9145,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
134,35,각시미용실,서울 서초구 동광로8길 1 (우)06565,02-8639-1784,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
135,34,헤어짱,서울 서초구 방배중앙로21길 10 (우)06558,02-8403-1846,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
136,31,다은헤어샵,서울 동작구 동작대로29길 110 신동아 상가 2층 (우)06998,02-7517-8242,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
137,28,스페셜제이,서울 동작구 사당로 229 1층 (우)07004,02-5759-4415,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
138,35,hairby가희 내방역점,서울 서초구 방배로 134 (우)06664,02-7335-4569,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
139,29,소울헤어,서울 동작구 사당로29가길 9 (우)07007,02-6550-7817,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
140,35,각시헤어,서울 서초구 동광로 18 (우)06565,02-6406-8015,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
141,31,블랑코헤어,서울 동작구 남부순환로269길 24 (우)07016,02-7957-7768,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
142,27,유민헤어,서울 동작구 사당로17길 87 (우)07003,02-0842-6288,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
143,30,바람난여우미용실,서울 동작구 동작대로9길 9 (우)07015,02-581-0888,매일 10:30 ~ 21:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
144,30,더맨헤어,서울 동작구 사당로 283 (우)07006,02-9398-7351,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
145,32,조이 헤어아트,서울 서초구 방배중앙로15길 36 (우)06564,02-6449-1944,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
146,34,머리염색체험방 방배3호점,서울 서초구 방배중앙로15길 39 (우)06570,02-0802-4071,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
147,35,헤어컴미용실,서울 동작구 동작대로31길 20 (우)06997,02-9955-9980,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
148,35,김세아헤어샵,서울 서초구 방배로35길 37 (우)06561,02-4052-7241,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
149,29,컨헤어살롱,서울 동작구 동작대로 121 9층 (우)07008,010-8077-8256,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
150,34,뉴월드헤어,서울 동작구 사당로 284 (우)07013,02-9855-2719,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
151,33,카일리헤어,서울 동작구 사당로14길 3 (우)07010,02-3237-5760,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
152,30,살롱드101,서울 서초구 방배로31길 14 (우)06562,02-7747-2130,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
153,32,씬헤어,서울 서초구 방배천로2안길 51 (우)06692,02-7061-9741,hi,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
154,26,스타일 랩 참 방배점,서울 서초구 동광로 65 방배빌딩 1층 (우)06561,02-6439-0422,월~토 10:30 ~ 20:30,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
155,33,느루헤어,서울 동작구 사당로28길 56 1층 느루헤어 (우)07015,02-2650-5398,월~토 10:00 ~ 22:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
156,29,수만헤어샵,서울 동작구 남부순환로271길 8 1층 2호 (우)07025,010-8852-4982,매일 00:00 ~ 24:00,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
157,32,낙향헤어샵,서울 동작구 사당로28길 48 (우)07015,02-8995-1920,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
158,35,끼깍끼,서울 동작구 동작대로 151-8 (우)06996,02-3121-4240,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
159,27,진헤어,서울 서초구 방배천로18길 20 (우)06677,02-2960-1935,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
160,33,퀸즈헤나 방배점,서울 서초구 방배천로16길 18 (우)06677,02-4580-5211,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
161,34,메이헤어살롱,서울 동작구 사당로17가길 1 (우)07004,02-4807-0632,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
162,33,이현남헤어모드,서울 동작구 동작대로29나길 34 (우)06997,02-5952-1583,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
163,27,살롱드모아,서울 동작구 동작대로 189 1층 101호 (우)06995,02-591-7677,화~금 10:00 ~ 20:00,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
164,28,수나헤어,서울 동작구 사당로22길 25 (우)07012,02-4604-8283,hi,2,0,2023-05-24 15:26:34,2023-05-24 15:26:34
165,35,외출준비미용실,서울 서초구 방배중앙로15길 16 (우)06564,02-7051-9110,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
166,35,권보민헤어,서울 서초구 방배중앙로27길 5 (우)06555,02-4098-3162,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
167,26,살롱정지영,서울 관악구 남현길 3 (우)08806,02-7409-2234,매일 10:00 ~ 20:30,1,0,2023-05-24 15:26:34,2023-05-24 15:26:34
168,27,러블리하우스 남성1호점,서울 동작구 사당로 192 (우)07009,02-588-5336,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
169,32,헤어컷,서울 동작구 사당로30길 44 (우)07013,02-2773-0661,hi,5,0,2023-05-24 15:26:34,2023-05-24 15:26:34
170,26,라파헤어,서울 서초구 서초대로1길 19 (우)06567,02-2804-1282,hi,3,0,2023-05-24 15:26:34,2023-05-24 15:26:34
171,35,무지개,서울 동작구 동작대로7길 18-1 (우)07015,02-4041-7760,hi,4,0,2023-05-24 15:26:34,2023-05-24 15:26:34
